,events,woba_value,launch_speed,launch_angle
430,field_out,0.0,46.7,38.0
431,field_out,0.0,69.4,-50.0
434,field_out,0.0,37.2,-48.0
439,field_out,0.0,47.5,-30.0
449,field_out,0.0,90.9,58.0
478,single,0.9,104.4,0.0
481,field_out,0.0,111.7,22.0
485,single,0.9,98.5,7.0
486,field_out,0.0,69.8,-42.0
492,field_out,0.0,85.1,-8.0
496,field_out,0.0,92.1,-14.0
508,field_out,0.0,80.3,7.0
520,single,0.9,88.1,18.0
522,field_out,0.0,48.2,32.0
526,field_out,0.0,94.5,38.0
530,single,0.9,97.0,-23.0
533,single,0.9,106.6,4.0
537,field_out,0.0,90.4,31.0
539,double,1.25,91.8,15.0
543,home_run,2.0,104.8,37.0
563,double,1.25,86.7,0.0
574,field_out,0.0,56.1,12.0
576,field_out,0.0,79.5,78.0
580,double,1.25,100.4,3.0
591,field_out,0.0,67.5,20.0
595,field_out,0.0,90.9,65.0
602,field_out,0.0,98.8,47.0
608,single,0.9,74.3,43.0
611,single,0.9,113.2,10.0
618,field_out,0.0,78.2,51.0
619,single,0.9,72.9,23.0
622,field_out,0.0,81.8,64.0
623,field_out,0.0,98.9,50.0
628,single,0.9,102.1,0.0
643,field_out,0.0,80.6,47.0
644,field_out,0.0,41.2,-67.0
667,field_out,0.0,86.8,-46.0
672,home_run,2.0,108.9,23.0
679,single,0.9,106.0,14.0
683,field_out,0.0,60.7,-18.0
688,field_out,0.0,67.4,51.0
695,single,0.9,99.8,0.0
699,field_out,0.0,97.3,43.0
706,field_out,0.0,82.6,36.0
709,double,1.25,102.8,17.0
715,field_out,0.0,87.4,29.0
729,double,1.25,112.9,10.0
734,single,0.9,104.7,7.0
736,field_out,0.0,100.1,44.0
738,field_out,0.0,78.1,61.0
757,field_out,0.0,83.6,59.0
771,field_out,0.0,97.6,39.0
777,field_out,0.0,72.3,-35.0
787,field_out,0.0,70.1,85.0
789,single,0.9,99.3,1.0
797,field_out,0.0,104.6,17.0
802,field_out,0.0,98.0,22.0
806,field_out,0.0,97.1,-3.0
809,field_out,0.0,105.5,-18.0
815,home_run,2.0,111.9,23.0
817,field_out,0.0,88.8,25.0
818,field_out,0.0,68.0,23.0
819,single,0.9,102.4,15.0
820,home_run,2.0,112.5,24.0
830,field_out,0.0,96.2,25.0
835,field_out,0.0,91.5,-6.0
841,field_out,0.0,103.5,-36.0
852,field_out,0.0,85.7,29.0
858,single,0.9,95.4,3.0
869,field_out,0.0,55.6,19.0
893,field_out,0.0,86.5,-4.0
898,field_out,0.0,75.9,76.0
909,single,0.9,104.3,6.0
913,single,0.9,89.7,24.0
921,field_out,0.0,111.8,-6.0
924,field_out,0.0,82.6,25.0
928,field_out,0.0,98.2,44.0
948,field_out,0.0,50.9,12.0
950,field_out,0.0,98.7,9.0
956,field_out,0.0,99.4,32.0
971,field_out,0.0,91.6,28.0
1002,field_out,0.0,91.0,19.0
1008,field_out,0.0,78.4,-37.0
1012,field_out,0.0,110.3,-9.0
1025,field_out,0.0,72.2,-22.0
1032,single,0.9,90.7,19.0
1039,single,0.9,73.4,35.0
1047,double,1.25,104.6,14.0
1056,field_out,0.0,94.7,57.0
1069,field_out,0.0,74.5,-4.0
1073,double,1.25,82.6,18.0
1079,field_out,0.0,98.0,41.0
1081,field_out,0.0,97.0,62.0
1083,double,1.25,110.9,12.0
1092,field_out,0.0,75.1,47.0
1102,field_out,0.0,81.8,6.0
1108,field_out,0.0,89.2,-13.0
1114,field_out,0.0,87.0,-4.0
1122,field_out,0.0,70.0,-12.0
1126,field_out,0.0,102.0,10.0
1128,field_out,0.0,89.1,20.0
1149,field_out,0.0,78.9,86.0
1161,field_out,0.0,61.3,-24.0
1162,home_run,2.0,103.8,23.0
1168,field_out,0.0,108.8,32.0
1169,field_out,0.0,82.5,61.0
1177,field_out,0.0,98.1,77.0
1183,field_out,0.0,63.1,79.0
1190,single,0.9,105.7,7.0
1206,field_out,0.0,96.0,-6.0
1213,field_out,0.0,91.9,48.0
1219,field_out,0.0,91.6,60.0
1223,field_out,0.0,101.2,32.0
1224,single,0.9,96.7,11.0
1231,field_out,0.0,88.1,10.0
1239,field_out,0.0,63.5,-45.0
1245,field_out,0.0,74.2,79.0
1247,field_out,0.0,76.8,-30.0
1250,home_run,2.0,103.7,27.0
1257,single,0.9,106.2,-8.0
1262,single,0.9,58.2,-70.0
1265,field_out,0.0,96.7,27.0
1268,field_out,0.0,52.5,63.0
1270,home_run,2.0,112.5,31.0
1274,field_out,0.0,80.7,30.0
1286,field_out,0.0,100.6,31.0
1288,single,0.9,79.1,25.0
1291,field_out,0.0,30.6,-21.0
1294,field_out,0.0,65.9,-24.0
1297,field_out,0.0,102.6,26.0
1303,single,0.9,79.9,-8.0
1304,double,1.25,108.8,12.0
1315,home_run,2.0,108.4,25.0
1326,field_out,0.0,96.3,-26.0
1330,field_out,0.0,80.9,66.0
1334,home_run,2.0,104.3,25.0
1346,field_out,0.0,94.5,-18.0
1352,field_out,0.0,94.6,6.0
1355,single,0.9,96.0,8.0
1362,double,1.25,102.4,18.0
1369,field_out,0.0,64.4,72.0
1373,field_out,0.0,75.8,31.0
1378,field_out,0.0,88.3,-26.0
1381,field_out,0.0,99.2,22.0
1384,field_out,0.0,72.3,-16.0
1389,field_out,0.0,69.6,64.0
1403,field_out,0.0,84.2,43.0
1407,field_out,0.0,84.1,36.0
1411,field_out,0.0,108.0,16.0
1418,field_out,0.0,100.7,20.0
1420,field_out,0.0,87.5,45.0
1436,field_out,0.0,46.1,-14.0
1441,double,1.25,111.0,19.0
1447,home_run,2.0,101.3,28.0
1453,single,0.9,71.3,17.0
1459,single,0.9,71.9,20.0
